תאריך פרסום,שם התכשיר,שם תכשיר באנגלית,שם החברה,סיבת העצירה,תאריך העצירה,צפי לחידוש שיווק,קבלת הודעה
,מרוקן,Meroken,"טבע ישראל בע""מ",סיבות תפעוליות,14/02/2024,התכשיר חזר למלאי,
,"זולאייר 150 מ""ג",Xolair 150mg,"דוד מרגלית ושות' בע""מ",סיבות תפעוליות,28/03/2024,התכשיר חזר למלאי,
,"אוקטריאוטייד בנדליס 0.5 מ""ג/מ""ל",Octreotide Bendalis 0.5 mg/ml,"נוברטיס ישראל בע""מ",סיבות תפעוליות,17.03.2024,10.04.2025,
,מרוקן,Meroken,"דוד מרגלית ושות' בע""מ",סיבות תפעוליות,14/02/2024,התכשיר חזר למלאי,
,"אוקטריאוטייד בנדליס 0.5 מ""ג/מ""ל",Octreotide Bendalis 0.5 mg/ml,Trima Israel Pharmaceutical Products Maabarot Ltd.,סיבות תפעוליות,17.03.2024,10.04.2025,
,אדויל קולד & סינוס,ADVIL COLD & SINUS,Trima Israel Pharmaceutical Products Maabarot Ltd.,סיבות תפעוליות,01/10/2022,01/04/2025,
,סטאפידרם קרם,Staphiderm Cream,CURE MEDICAL & TECHNICAL SUPPLY,סיבות תפעוליות,מיידי,התכשיר חזר למלאי,
,סולוביט N,SOLUVIT N,"טבע ישראל בע""מ",סיבות תפעוליות,20.03.2024,סוף יוני 2024,
,"דקפפטיל דפו 22.5 מ""ג",Decapeptyl depot 22.5mg,CURE MEDICAL & TECHNICAL SUPPLY,סיבות תפעוליות,20.03.2024,התכשיר חזר למלאי,
,אזטימיב טבע,EZETIMIBE TEVA,Reckitt Benckiser (Near East) LTD.,סיבות תפעוליות,סוף אוקטובר 2023,עד להודעה חדשה (במקום סוף אפריל 2024),
,פולפילה,FULPHILA,"דקסל בע""מ",סיבות תפעוליות,31.01.2024,10.04.2024,
,פולפילה,FULPHILA,Reckitt Benckiser (Near East) LTD.,סיבות תפעוליות,31.01.2024,10.04.2024,
,גביסקון מנטה טבליות,GAVISCON PEPPERMINT TABLETS,"פייזר פי אף אי פרמצבטיקה ישראל בע""מ",סיבות תפעוליות,19.3.2024,התכשיר חזר למלאי,
,אלוקום משחה,ELOCOM OINTMENT,"פייזר פי אף אי פרמצבטיקה ישראל בע""מ",סיבות תפעוליות,17.3.2024,1.5.2024,
,"קטאלר להזרקה 50 מ""ג/מ""ל",Ketalar 50 mg/ml Injection,פארמלוג'יק,סיבות תפעוליות,30.03.2024,10.05.2024,
,"פרגמין 2500 יב""ל/ 0.2 מ""ל",FRAGMIN 2500 I.U /0.2 ML,"תרו אינטרנשיונל בע""מ",סיבות מסחריות,30.06.2024,לצמיתות,
,"פרגמין 2500 יב""ל/ 0.2 מ""ל",FRAGMIN 2500 I.U /0.2 ML,פארמלוג'יק,סיבות מסחריות,30.06.2024,לצמיתות,
,"סבלמר תרו 800 מ""ג",Sevelamer Taro 800 mg,"תרו אינטרנשיונל בע""מ",סיבות תפעוליות,9.11.2023,התכשיר חזר למלאי,
,"קיורטן 30 מ""ג",Curatane 30 mg,"תרו אינטרנשיונל בע""מ",סיבות מסחריות,19.3.2024,30.6.2024,
,"סבלמר תרו 800 מ""ג",Sevelamer Taro 800 mg,"תרו אינטרנשיונל בע""מ",סיבות תפעוליות,9.11.2023,התכשיר חזר למלאי,
,"קיורטן 30 מ""ג",Curatane 30 mg,Ferring pharmaceutical Ltd,סיבות מסחריות,19.3.2024,30.6.2024,
,"פרגמין 2500 יב""ל/ 0.2 מ""ל",FRAGMIN 2500 I.U /0.2 ML,פארמלוג'יק,סיבות מסחריות,30.06.2024,לצמיתות,
,"גמטמיצין פאנפרמה 80מ""ג/2מ ""ל",Gentamicin Panpharma 80mg/2ml,"תרו אינטרנשיונל בע""מ",סיבות תפעוליות,17.3.2024,15.6.2024,
,דורזולאמיד טימולול תרו,Dorzolamide Timolol Taro,PADAGIS ISRAEL AGENCIES LTD,סיבות תפעוליות,7.1.2024,התכשיר חזר למלאי,
,"קמדרין טבליות 5 מ""ג",KEMADRIN TABLETS 5 MG,Novartis Israel Ltd.,סיבות תפעוליות,5.11.2023,התכשיר חזר למלאי,
,"פלודרבין ""אבווה"" 50 מ""ג/2 מ""ל","FLUDARABIN ""EBEWE"" 50 MG/2 ML",Novartis Israel Ltd.,סיבות תפעוליות,31.1.2024,20/04/2024 במקום 31/03/2024,
,"זופרן טבליות 8 מ""ג",ZOFRAN TABLETS 8 MG,"חברת מרק שארפ ודוהם (ישראל-1996) בע""מ MSD Israel",סיבות תפעוליות,24.12.2023,20/04/2024 במקום 31/03/2024,
,"ווקטה 50 יחידות/מ""ל",Vaqta 50 U/ML,"נוברטיס ישראל בע""מ",סיבות תפעוליות,10.4.2024,התכשיר חזר למלאי,
,"פלודרבין ""אבווה"" 50 מ""ג/2 מ""ל","FLUDARABIN ""EBEWE"" 50 MG/2 ML","חברת מרק שארפ ודוהם (ישראל-1996) בע""מ MSD Israel",סיבות תפעוליות,31.1.2024,20/04/2024 במקום 31/03/2024,
,"פלודרבין ""אבווה"" 50 מ""ג/2 מ""ל","FLUDARABIN ""EBEWE"" 50 MG/2 ML","צמל ביופרמה בע""מ",סיבות תפעוליות,31.1.2024,20/04/2024 במקום 31/03/2024,
,"סטימופיל 480 מק""ג/0.5 מ""ל",STIMOFIL 480 MCG/0.5 ML,Novartis Israel Ltd.,סיבות תפעוליות,מיידי,20/04/2024,
,פורדיל כמוסות לשאיפה,FORADIL CAPSULES FOR INHALATION,PADAGIS ISRAEL PHARMACEUTICALS LTD.,סיבות תפעוליות,29.2.2024,20.4.2024 במקום 12.3.2024,
,פורדיל כמוסות לשאיפה,FORADIL CAPSULES FOR INHALATION,"תרו תעשייה רוקחית בע""מ",סיבות תפעוליות,29.2.2024,20.4.2024 במקום 12.3.2024,
,"ריברוקסבן תרו 10 מ""ג",Rivaroxaban Taro 10 mg,"תרו תעשייה רוקחית בע""מ",סיבות תפעוליות,11.3.2024,התכשיר חזר למלאי,
,"ריברוקסבן תרו 10 מ""ג",Rivaroxaban Taro 10 mg,"תרו תעשייה רוקחית בע""מ",סיבות תפעוליות,11.3.2024,התכשיר חזר למלאי,
,"פלוקונאזול טבע 150 מ""ג",FLUCONAZOLE TEVA 150 MG,Trima,סיבות תפעוליות,תחילת אפריל 2024,סוף אפריל 2024,
,טופיסלן,Topisalen,"פאדאגיס ישראל סוכנויות בע""מ",סיבות תפעוליות,1.6.2022,31.5.2024,
,אלפו-קל XL,ALFU-KAL XL,Trima,סיבות תפעוליות,7.4.2024,התכשיר חזר למלאי,
,טופיסלן,Topisalen,"צמל ביופרמה בע""מ",סיבות תפעוליות,1.6.2022,31.5.2024,
,"ריבסטיגמין דקסל 1.5 מ""ג",RIVASTIGMINE DEXCEL 1.5 MG,"צמל ביופרמה בע""מ",סיבות תפעוליות,17.3.2024,30.04.2024,
,"ריבסטיגמין דקסל 1.5 מ""ג",RIVASTIGMINE DEXCEL 1.5 MG,פייזר PFE,סיבות תפעוליות,17.3.2024,30.04.2024,
,אירינוטקן טבע,IRINOTECAN TEVA,"צמל ביופרמה בע""מ",סיבות תפעוליות,מיידי,התכשיר חזר למלאי,
,"סיימבן 500 מ""ג",CYMEVENE 500 MG,רפא,סיבות תפעוליות,מיידי,10.3.2024,
,פן-רפא וי-ק 500,Pen-Rafa VK 500,רפא,סיבות תפעוליות,1.2.2024,15.6.2024,
,פן-רפא וי-ק 500,Pen-Rafa VK 500,רפא,סיבות תפעוליות,1.2.2024,15.6.2024,
,קנסטן וי,Canesten V,רפא,סיבות תפעוליות,18.3.2024,התכשיר חזר למלאי,
,"בטיסטין 16 מ""ג",Betistine 16 mg,רפא,סיבות תפעוליות,6.9.2023,30.4.2024,
,פנטה 25,Fenta 25,"באייר ישראל בע""מ",סיבות תפעוליות,31.1.2024,30.4.2024,
,פנטה 25,Fenta 25,מגאפארם,סיבות תפעוליות,31.1.2024,30.4.2024,
,ציקלופולי 8%,Ciclopoli 8%,רפא,סיבות תפעוליות,05/03/2024,לצמיתות,
,ציקלופולי 8%,Ciclopoli 8%,"פאדאגיס ישראל סוכנויות בע""מ",סיבות תפעוליות,05/03/2024,לצמיתות,
,צלסטון כרונודוז,CELESTONE CHRONODOSE,"פאדאגיס ישראל סוכנויות בע""מ",סיבות תפעוליות,5.2.2024,התכשיר חזר למלאי,
,טראוסולפן רז 5 גרם,TREOSULFAN RAZ 5 G,אורגנון פארמה ישראל,סיבות תפעוליות,10/01/2023,10/04/2024 במקום 29/02/2024,
,דואק,DUAC,"נוברטיס ישראל בע""מ",סיבות תפעוליות,06/10/2022,התכשיר חזר למלאי,
,"סנדוסטטין® 0.5 מ""ג/מ""ל",SANDOSTATIN® 0.5 MG/ML,אורגנון פארמה ישראל,סיבות תפעוליות,10.03.2024,15.03.2024,
,טראוסולפן רז 5 גרם,TREOSULFAN RAZ 5 G,"ביוטיס בע""מ",סיבות תפעוליות,10/01/2023,10/04/2024 במקום 29/02/2024,
,דואק,DUAC,"ניאופרם סיינטיפיק בע""מ",סיבות תפעוליות,06/10/2022,התכשיר חזר למלאי,
,טראוסולפן רז 5 גרם,TREOSULFAN RAZ 5 G,"פאדאגיס ישראל סוכנויות בע""מ",סיבות תפעוליות,10/01/2023,10/04/2024 במקום 29/02/2024,
,"סנדוסטטין® 0.5 מ""ג/מ""ל",SANDOSTATIN® 0.5 MG/ML,אורגנון פארמה ישראל,סיבות תפעוליות,10.03.2024,15.03.2024,
,צלסטון כרונודוז,CELESTONE CHRONODOSE,PADAGIS ISRAEL AGENCIES LTD,סיבות תפעוליות,5.2.2024,התכשיר חזר למלאי,
,אינוטיול,INOTYOL,Trima,סיבות תפעוליות,24.3.2024,1.5.2024,
,ציקלודרם C,Cicloderm C,PADAGIS ISRAEL AGENCIES LTD,סיבות תפעוליות,מיידי,31.3.2024,
,אינוטיול,INOTYOL,"תרו תעשייה רוקחית בע""מ",סיבות תפעוליות,24.3.2024,1.5.2024,
,"ספירונולקטון טבע 100 מ""ג",SPIRONOLACTONE TEVA 100 MG,PADAGIS ISRAEL PHARMACEUTICALS LTD.,סיבות תפעוליות,אמצע מרץ 2024,התכשיר חזר למלאי,
,"סינאקלסט תרו 30 מ""ג",Cinacalcet Taro 30 mg,"נובו נורדיסק בע""מ",סיבות תפעוליות,2.8.2023,התכשיר חזר למלאי,
,אוזמפיק 0.25,Ozempic,"טבע ישראל בע""מ",סיבות תפעוליות,07.04.2024,09.06.2024,
,אגיסטן קומבי,Agisten Combi,GLAXO SMITH KLINE (ISRAEL) LTD,סיבות תפעוליות,21.1.2024,התכשיר חזר למלאי,
,אטופוסיד טבע,ETOPOSIDE TEVA,"טבע ישראל בע""מ",סיבות מסחריות,תחילת דצמבר 2024,התכשיר חזר למלאי,
,אגיסטן קומבי,Agisten Combi,"תרו אינטרנשיונל בע""מ",סיבות תפעוליות,21.1.2024,התכשיר חזר למלאי,
,"פרטאן 5 מ""ג",Partane 5 mg,"טבע ישראל בע""מ",סיבות תפעוליות,15.8.2023,עד להודעה חדשה,
,אוזמפיק 0.25,Ozempic,"טבע ישראל בע""מ",סיבות תפעוליות,07.04.2024,09.06.2024,
,"סוניטיניב טבע 12.5 מ""ג",SUNITINIB TEVA 12.5 MG,"טבע ישראל בע""מ",סיבות תפעוליות,תחילת ינואר 2024,סוף אפריל 2024 (במקום אמצע מרץ 2024),
,"סוניטיניב טבע 12.5 מ""ג",SUNITINIB TEVA 12.5 MG,"טבע ישראל בע""מ",סיבות תפעוליות,תחילת ינואר 2024,סוף אפריל 2024 (במקום אמצע מרץ 2024),
,בימטילול טבע,BIMATILOL TEVA,"טבע ישראל בע""מ",סיבות תפעוליות,מיידי,תחילת אוגוסט 2024,
,פלואורואורציל טבע,FLUOROURACIL TEVA,"אינובמד בע""מ",סיבות תפעוליות,אמצע אוקטובר 2023,סוף פברואר 2024 (במקום סוף נובמבר 2023),
,"אונדנסטרון אינובמד 8 מ""ג",Ondansetron Inovamed 8mg,"אינובמד בע""מ",סיבות תפעוליות,01/02/2024,אמצע מאי 2024,
,"פרגבלין אינובמד 300 מ""ג",Pregabalin Inovamed 300mg,"אינובמד בע""מ",סיבות תפעוליות,01/02/2024,סוף 2024,
,"סיימבן 500 מ""ג",CYMEVENE 500 MG,J-C HEALTH CARE LTD,סיבות תפעוליות,מיידי,התכשיר חזר למלאי,
,"קונסרטה 18 מ""ג",CONCERTA 18mg,"אינובמד בע""מ",סיבות תפעוליות,29/02/2024,התכשיר חזר למלאי,
,"סטימופיל 300 מק""ג/0.5 מ""ל",STIMOFIL 300 MCG/0.5 ML,"אינובמד בע""מ",סיבות תפעוליות,מיידי,27.02.2024,
,"קונסרטה54 מ""ג",CONCERTA 54mg,"אינובמד בע""מ",סיבות תפעוליות,30/01/2024,התכשיר חזר למלאי,
,"קונסרטה54 מ""ג",CONCERTA 54mg,"אליעזר לינביץ בע""מ",סיבות תפעוליות,30/01/2024,התכשיר חזר למלאי,
,אמבוטייפ וטרינרי,Embotape veterinary,"אינובמד בע""מ",סיבות תפעוליות,מיידי,25/04/2024,
,ערמוניה פלוס,Armonia plus,"אינובמד בע""מ",סיבות תפעוליות,08/02/2024,התכשיר חזר למלאי,
,אמבוטייפ וטרינרי,Embotape veterinary,"אינובמד בע""מ",סיבות תפעוליות,מיידי,25/04/2024,
,פורדיל כמוסות לשאיפה,FORADIL CAPSULES FOR INHALATION,פייזר פ.אף.אי,סיבות תפעוליות,29/02/2024,12/03/2024,
,אזניל כמוסות,Azenil Capsules,"תרומד בע""מ",סיבות תפעוליות,מיידי,התכשיר חזר למלאי,
,"ניטיר (ניטיזינון) 10 מ""ג",Nityr (nitisinine) 10mg,"תרומד בע""מ",סיבות תפעוליות,01/09/2023,31/05/2024 במקום 29/02/2024,
,"ניטיר (ניטיזינון) 5 מ""ג",Nityr (nitisinine) 5 mg,"תרומד בע""מ",סיבות תפעוליות,01/09/2023,31/05/2024 במקום 29/02/2024,
,"ניטיר (ניטיזינון) 5 מ""ג",Nityr (nitisinine) 5 mg,זואטיס ישראל הולדינג בי.וי.,סיבות תפעוליות,01/09/2023,31/05/2024 במקום 29/02/2024,
,"ניטיר (ניטיזינון) 5 מ""ג",Nityr (nitisinine) 5 mg,Novartis Israel ltd.,סיבות תפעוליות,01/09/2023,31/05/2024 במקום 29/02/2024,
,"אנטרסטו 200מ""ג",Entresto 200mg,מגאפארם,סיבות תפעוליות,1.3.2024,התכשיר חזר למלאי,
,טימוניל 600 ריטרד,Timonil 600 Retard,פייזר PFE,סיבות תפעוליות,07/03/2024,01/01/2025,
,ציטוסאר 1 ג',CYTOSAR 1 G,מגאפארם,סיבות מסחריות,21/03/2024,לצמיתות,
,טימוניל 600 ריטרד,Timonil 600 Retard,NEOPHARM LTD,סיבות תפעוליות,07/03/2024,01/01/2025,
,בונסרין,Bonserin,"מרק סרונו בע""מ",סיבות תפעוליות,01/04/2024,31/05/2024,
,בונסרין,Bonserin,NEOPHARM LTD,סיבות תפעוליות,01/04/2024,31/05/2024,
,אקנהמיצין פלוס,AKNEMYCIN PLUS,"תרו תעשייה רוקחית בע""מ",סיבות תפעוליות,20.02.2024,התכשיר חזר למלאי,
,טרמדקס או.די 200,TRAMADEX 200 OD,תרו תעשייה רוקחית,סיבות תפעוליות,30.12.2023,5.4.2024,
,דרמקומבין משחה,Dermacombin Ointment,תרו תעשייה רוקחית,סיבות תפעוליות,15/02/2024,התכשיר חזר למלאי,
,למיסיל קרם,Lamisil Cream,"תרו תעשייה רוקחית בע""מ",סיבות תפעוליות,01/12/2023,01/04/2024,
,דרמקומבין משחה,Dermacombin Ointment,"דקסל פארמה טכנולוגיות בע""מ",סיבות תפעוליות,15/02/2024,התכשיר חזר למלאי,
,תרוקלינדין ג'ל,TaroClindin Gel,תרו תעשייה רוקחית,סיבות תפעוליות,20/02/2024,15/04/2024,
,דוטסטריד תרו,Dutasteride Taro,"תרו תעשייה רוקחית בע""מ",סיבות תפעוליות,09/11/2023,30/03/2024,
,למיסיל קרם,Lamisil Cream,תרו תעשייה רוקחית,סיבות תפעוליות,01/12/2023,01/04/2024,
,"ריברוקסבן תרו 2.5 מ""ג",Rivaroxaban Taro 2.5 mg,"תרו תעשייה רוקחית בע""מ",סיבות תפעוליות,20.2.2024,התכשיר חזר למלאי,
,"ריברוקסבן תרו 2.5 מ""ג",Rivaroxaban Taro 2.5 mg,"תרו אינטרנשיונל בע""מ",סיבות תפעוליות,20.2.2024,התכשיר חזר למלאי,
,"ריברוקסבן תרו 15 מ""ג",Rivaroxaban Taro 15 mg,"דקסל פארמה טכנולוגיות בע""מ",סיבות תפעוליות,01/03/2024,15/04/2024,
,לבטיראצטם דקסל 500,LEVETIRACETAM DEXCEL 500,"טבע ישראל בע""מ",סיבות תפעוליות,14.02.2024,התכשיר חזר למלאי,
,"פקליטקסל טבע 100 מ""ג",PACLITAXEL TEVA 100MG,מגאפארם,סיבות תפעוליות,תחילת פברואר 2024,התכשיר חזר למלאי,
,הרגיין 5%,HAIRGAIN 5%,מגאפארם,סיבות מסחריות,31/12/2015,לצמיתות,
,הרגיין 5%,HAIRGAIN 5%,RAZ PHARMACEUTICS LTD,סיבות מסחריות,31/12/2015,לצמיתות,
,"פקליטקסל טבע 300 מ""ג",PACLITAXEL TEVA 300MG,RAZ PHARMACEUTICS LTD,סיבות תפעוליות,תחילת יולי 2023,התכשיר חזר למלאי,
,טראוסולפן רז 5 גרם,TREOSULFAN RAZ 5 G,"טבע ישראל בע""מ",סיבות תפעוליות,01/10/2023,29/02/2024 במקום 31/01/2024,
,הרגיין 5%,HAIRGAIN 5%,Trima,סיבות מסחריות,31/12/2015,לצמיתות,
,ציקלודרם תמיסה,Cicloderm Solution,רפא,סיבות תפעוליות,15/12/2023,31/03/2024,
,סטופיט,Stopit,LAPIDOT MEDICAL IMPORT AND MARKETING LTD,סיבות תפעוליות,1.2.2024,התכשיר חזר למלאי,
,דקסטרוז 5%,%DEXTROSE 5,Haleon CH Israel LTD,סיבות תפעוליות,06.11.2023,04.03.2024 במקום 12.02.2024,
,אוטריוין,Otrivin,LAPIDOT MEDICAL IMPORT AND MARKETING LTD,סיבות תפעוליות,01/01/2024,01/04/2024,
,דקסטרוז 5%,%DEXTROSE 5,"טבע ישראל בע""מ",סיבות תפעוליות,06.11.2023,04.03.2024 במקום 12.02.2024,
,דקסטרוז 5%,%DEXTROSE 5,"טבע ישראל בע""מ",סיבות תפעוליות,06.11.2023,04.03.2024 במקום 12.02.2024,
,טמסו פי.אר. טבע,TAMSU P.R TEVA,"טבע תעשיות פרמצבטיות בע""מ",סיבות תפעוליות,תחילת פברואר 2024,התכשיר חזר למלאי,
,לקסעדין,LAXADIN,062-36-27922-00,סיבות תפעוליות,תחילת ינואר 2024,התכשיר חזר למלאי,
,ערמוניה פלוס,Armonia plus,"תרו אינטרנשיונל בע""מ",סיבות תפעוליות,8.2.2024,25.2.2024,
,לתרו-טים,Latato-Tim,פייזר פ.אף.אי,סיבות תפעוליות,1.3.2024,1.2.2024,
,מרוקן,Meroken,"תרו אינטרנשיונל בע""מ",סיבות תפעוליות,14.2.2024,30.3.2024,
,ערמוניה פלוס,Armonia plus,"דקסל בע""מ",סיבות תפעוליות,8.2.2024,25.2.2024,
,ערמוניה פלוס,Armonia plus,פייזר פ.אף.אי,סיבות תפעוליות,8.2.2024,25.2.2024,
,ערמוניה פלוס,Armonia plus,"דקסל בע""מ",סיבות תפעוליות,8.2.2024,25.2.2024,
,דיפרופול 1%,Diprofol 1% Vial,"תרו אינטרנשיונל בע""מ",סיבות תפעוליות,7.2.2024,לצמיתות,
,דיפרופול 1%,Diprofol 1% Vial,"נוברטיס ישראל בע""מ",סיבות תפעוליות,7.2.2024,לצמיתות,
,פלודקאט,Fludecate,"תרו אינטרנשיונל בע""מ",סיבות תפעוליות,15.2.2024,31.3.2024,
,"פמה-סול 25 מ""ג/מ""ל",PEME-SOL 25 MG/ML,"תרו אינטרנשיונל בע""מ",סיבות תפעוליות,תחילת פברואר 2024,התכשיר חזר למלאי,
,"ציפרו-טבע 2 מ""ג/מ""ל",CIPRO-TEVA 2 MG/ML,"דקסל בע""מ",סיבות תפעוליות,תחילת דצמבר 2023,התכשיר חזר למלאי,
,דיפרופול 1%,Diprofol 1% Amp,"נוברטיס ישראל בע""מ",סיבות תפעוליות,7.2.2024,לצמיתות,
,פלודקאט,Fludecate,"טבע ישראל בע""מ",סיבות תפעוליות,15.2.2024,31.3.2024,
,"גאבאפנטין טבע 300 מ""ג",GABAPENTIN TEVA 300MG,נוברטיס ישראל,סיבות תפעוליות,תחילת פברואר 2024,אמצע מרץ 2024 (במקום סוף פברואר 2024),
,פן-רפא וי-ק 500,Pen-Rafa VK 500,רפא,סיבות תפעוליות,01/02/2024,15/05/2024,
,"ריפאליד 2 מ""ג",RIPALID 2 MG,נוברטיס ישראל,סיבות תפעוליות,04/07/2023,התכשיר חזר למלאי,
,"ריפאליד 1 מ""ג",RIPALID 1 MG,רפא,סיבות תפעוליות,11/01/2024,התכשיר חזר למלאי,
,"קמדרין טבליות 5 מ""ג",KEMADRIN TABLETS 5 MG,רפא,סיבות תפעוליות,05/11/2023,17/03/2024 במקום 28/02/2024,
,"ריפאליד 2 מ""ג",RIPALID 2 MG,PADAGIS ISRAEL AGENCIES LTD,סיבות תפעוליות,04/07/2023,התכשיר חזר למלאי,
,"ריפאליד 2 מ""ג",RIPALID 2 MG,PADAGIS ISRAEL AGENCIES LTD,סיבות תפעוליות,04/07/2023,התכשיר חזר למלאי,
,"ריפאליד 2 מ""ג",RIPALID 2 MG,"ניאופרם סיינטיפיק בע""מ",סיבות תפעוליות,04/07/2023,התכשיר חזר למלאי,
,צלסטון כרונודוז,CELESTONE CHRONODOSE,Ferring pharmaceutical Ltd,סיבות תפעוליות,05/02/2024,25/02/2024,
,"רבלימיד 10 מ""ג",REVLIMID ® 10 MG,"סאנופי ישראל בע""מ",סיבות תפעוליות,07.01.2024,התכשיר חזר למלאי,
,מנופור 1200,Menopur 1200 IU,"סאנופי ישראל בע""מ",סיבות תפעוליות,25.02.2024,התכשיר חזר למלאי,
,מנופור 1200,Menopur 1200 IU,"דקסל בע""מ",סיבות תפעוליות,25.02.2024,התכשיר חזר למלאי,
,"ריבסטיגמין מדבקה דקסל 9.5 מ""ג/24 שעות",RIVASTIGMINE PATCH DEXCEL 9.5 MG/24 H,"טבע ישראל בע""מ",סיבות תפעוליות,15.12.2023,התכשיר חזר למלאי,
,"אפדרין הידרוכלוריד סטרופ 50 מ""ג/ 1 מ""ל",EPHEDRINE HCL STEROP 50 MG/1 ML,"טבע ישראל בע""מ",סיבות תפעוליות,31/07/2023,31/03/2024,
,"בודזונייד סטרינבז טבע 1 מ""ג2 /מ""ל",BUDESONIDE STERINEBS TEVA 1 MG/2 ML,זואטיס ישראל הולדינג בי.וי.,סיבות תפעוליות,תחילת פברואר 2024,סוף פברואר 2024,
,"בודזונייד סטרינבז טבע 1 מ""ג2 /מ""ל",BUDESONIDE STERINEBS TEVA 1 MG/2 ML,זואטיס ישראל הולדינג בי.וי.,סיבות תפעוליות,תחילת פברואר 2024,סוף פברואר 2024,
,"אפדרין הידרוכלוריד סטרופ 50 מ""ג/ 1 מ""ל",EPHEDRINE HCL STEROP 50 MG/1 ML,"טבע ישראל בע""מ",סיבות תפעוליות,31/07/2023,31/03/2024,
,"ריבר טבע 10 מ""ג",RIVAR TEVA 10 MG,"אמ""י טכנולוגיות רפואיות בע""מ",סיבות תפעוליות,אמצע ינואר 2024,התכשיר חזר למלאי,
,"ריבר טבע 10 מ""ג",RIVAR TEVA 10 MG,J-C HEALTH CARE LTD,סיבות תפעוליות,אמצע ינואר 2024,התכשיר חזר למלאי,
,"קונסרטה54 מ""ג",CONCERTA 54mg,"טבע ישראל בע""מ",סיבות תפעוליות,30/01/2024,31/03/2024,
,"דולוקס טבע 60 מ""ג",DULOX TEVA 60 MG,"סאנופי ישראל בע""מ",סיבות תפעוליות,מיידי,התכשיר חזר למלאי,
,קיוואר 100,QVAR 100,"דיפריס ושות' בע""מ",סיבות תפעוליות,מיידי,התכשיר חזר למלאי,
,"דולוקס טבע 60 מ""ג",DULOX TEVA 60 MG,"דיפריס ושות' בע""מ",סיבות תפעוליות,מיידי,התכשיר חזר למלאי,
,קיוואר 100,QVAR 100,"דיפריס ושות' בע""מ",סיבות תפעוליות,מיידי,התכשיר חזר למלאי,
,יורקס,Eurax,"נובו נורדיסק בע""מ",סיבות תפעוליות,01.02.2024,01.03.2024,
,זולטופיי,Xultophy,PADAGIS ISRAEL AGENCIES LTD,סיבות תפעוליות,19.11.2023,התכשיר חזר למלאי,
,"ריפאליד 2 מ""ג",RIPALID 2 MG,PADAGIS ISRAEL PHARMACEUTICALS LTD.,סיבות תפעוליות,04/07/2023,31/03/2024 במקום 15/02/2024,
,אגיסטן תמיסה,AGISTEN SOLUTION,Novartis Israel Ltd.,סיבות תפעוליות,19/02/2023,30/06/2024 במקום 28/03/2024,
,אגיסטן וי 0.5 גרם טבליה ואגינלית,AGISTEN V 0.5 G. VAGINAL TABLET,PADAGIS ISRAEL PHARMACEUTICALS LTD.,סיבות תפעוליות,03/12/2023,התכשיר חזר למלאי,
,אגיסטן וי 0.5 גרם טבליה ואגינלית,AGISTEN V 0.5 G. VAGINAL TABLET,"אוניפארם סחר בע""מ",סיבות תפעוליות,03/12/2023,התכשיר חזר למלאי,
,רוקורים,Rocurim,"אוניפארם סחר בע""מ",סיבות תפעוליות,24/01/2024,התכשיר חזר למלאי,
,פרולול 10,PROLOL 10,"אוניפארם סחר בע""מ",סיבות תפעוליות,31.01.2024,התכשיר חזר למלאי,
,"אקטונל פעם בחודש 150 מ""ג",Actonel once a month 150 mg,"אוניפארם סחר בע""מ",סיבות מסחריות,הפצה על ידי טבע 27/11/2018,לצמיתות,
,רוקורים,Rocurim,"טבע ישראל בע""מ",סיבות תפעוליות,24/01/2024,התכשיר חזר למלאי,
,פרולול 10,PROLOL 10,"טבע ישראל בע""מ",סיבות תפעוליות,31.01.2024,התכשיר חזר למלאי,
,"פרגבלין טבע 300 מ""ג",PREGABALIN TEVA 300 MG,PADAGIS ISRAEL PHARMACEUTICALS LTD.,סיבות תפעוליות,תחילת פברואר 2024,התכשיר חזר למלאי,
,מנטקס קרם,MENTAX CREAM,"נובו נורדיסק בע""מ",סיבות תפעוליות,01/01/2024,31/01/2024,
,מרקאין ספיינל 0.5% הבי,MARCAINE SPINAL 0.5% HEAVY,"נובו נורדיסק בע""מ",סיבות תפעוליות,01/02/2024,התכשיר חזר למלאי,
,"נורדיטרופין 10 מ""ג",Norditropin 10 mg,"טבע ישראל בע""מ",סיבות תפעוליות,18.05.2023,במהלך 2024,
,"נורדיטרופין 10 מ""ג",Norditropin 10 mg,"טבע ישראל בע""מ",סיבות תפעוליות,18.05.2023,במהלך 2024,
,"נורדיטרופין 10 מ""ג",Norditropin 10 mg,"פייזר פי אף אי פרמצבטיקה ישראל בע""מ",סיבות תפעוליות,18.05.2023,במהלך 2024,
,פולפילה,FULPHILA,"דוד מרגלית ושות' בע""מ",סיבות תפעוליות,31.01.2024,15.03.2024,
,"דולוקסטין סנדוז 30 מ""ג ג'י.אר.סי",Duloxetine Sandoz 30 mg GRC,PADAGIS ISRAEL PHARMACEUTICALS LTD.,סיבות תפעוליות,02.01.2024,10.04.2024,
,אגיסטן וי 0.5 גרם טבליה ואגינלית,AGISTEN V 0.5 G. VAGINAL TABLET,"פייזר פי אף אי פרמצבטיקה ישראל בע""מ",סיבות תפעוליות,03/12/2023,07/02/2024 במקום 18/01/2024,
